Make	Model	MakeCode	FamilyCode	YearGroup	MonthGroup	SequenceNum	Description	CurrentRelease	ImportFlag	LimitedEdition	Series	SeriesModelYear	BadgeDescription	BadgeSecondaryDescription	BodyStyleDescription	BodyConfigDescription	WheelBaseConfig	Roofline	ExtraIdentification	DriveDescription	DriveCode	GearTypeDescription	GearLocationDescription	GearNum	DoorNum	EngineSize	EngineDescription	Cylinders	FuelTypeDescription	InductionDescription	OptionCategory	CamDescription	EngineTypeDescription	FuelCapacity	FuelDeliveryDescription	MethodOfDeliveryDescription	GrossCombinationMAss	GrossVehicleMass	VIN	WheelBase	Height	Length	Width	KerbWeight	TareMass	PayLoad	Power	PowerRPMFrom	PowerRPMTo	Torque	TorqueRPMFrom	TorqueRPMTo	RonRating	SeatCapacity	ModelCode	BuildCountryOriginDescription	ValvesCylinder	EngineCycleDescription	EngineConfigurationDescription	EngineLocation	EngineNum	Acceleration	FrontTyreSize	RearTyreSize	FrontRimDesc	RearRimDesc	TowingBrakes	TowingNoBrakes	WarrantyCustAssist	FreeScheduledService	WarrantyYears	WarrantyKM	FirstServiceKM	FirstServiceMonths	RegServiceMonths	AltEngEngineType	AltEngBatteryType	AltEngCurrentType	AltEngAmpHours	AltEngVolts	AltEngChargingMethod	AltEngPower	AltEngPowerFrom	AltEngPowerTo	AltEngTorque	AltEngTorqueFrom	AltEngTorqueTo	AltEngDrive	NormalChargeMins	QuickChargeMins	NormalChargeVoltage	QuickChargeVoltage	KMRangeElectricEng	ElectricEngineLocation	TopSpeedElectricEng	GreenhouseRating	AirpollutionRating	OverallGreenStarRating	CO2Combined	CO2Urban	CO2ExtraUrban	FuelUrban	FuelExtraurban	FuelCombined	EmissionStandard	MaxEthanolBlend	AncapRating	VFactsClass	VFactsSegment	VFactsPrice	IsPPlateApproved	AverageKM	GoodKM	AvgWholesale	AvgRetail	GoodWholesale	GoodRetail	TradeMin	TradeMax	PrivateMax	NewPrice	Colour	Branch	SaleCategory	Sold_Date	Compliance_Date	Age_Comp_Months	KM	Sold_Amount
Toyota	Corolla	TOYO	COROLLA	2015	0	9	ZRE172R Ascent Sedan 4dr S-CVT 7sp 1.8i	F	L	F	ZRE172R	NULL	Ascent	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Constantly Variable Transmission	Floor	7	4	1798	1.8	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	55	Multi-Point Injection	Electronic Sequential	NULL	1735	MR053REH2042#####	2700	1460	4620	1776	1280	1245	455	103.00	NULL	6400	173	NULL	4000	91	5	ZRE172R-GEXDKQ	THAILAND	4	4 Stroke	In-line	Front	2ZR-#######	NULL	195/65 R15	195/65 R15	15x6.0	15x6.0	1300	450	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.50	7.50	4.50	153	200	125	8.60	5.40	6.60	Euro 4	E10	5	Passenger	Small	< $40K	T	50	30	12950	15000	14700	16900	11400	13200	15800	22990	1D4 - Silver Ash (T)	Belmore (NSW)	Dealer Only Auction	2017-01-25 00:00:00.000	05/2015	20	43108	15000.00
Holden	Commodore	HOLD	COMMODO	2012	0	13	VE II MY12 Omega Sportwagon 5dr. Spts Auto 6sp 3.0i	F	L	F	VE II	MY12	Omega	NULL	Wagon	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	5	2986	3.0	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	71	Direct Injection	Electronic Sequential	NULL	NULL	6G1EK5?#*CL######	2915	1479	4905	1899	1699	1699	NULL	190.00	NULL	6700	290	NULL	2400	91	5	8EK35-178	AUSTRALIA	4	4 Stroke	V60	Front	L?*###***1234*	NULL	225/60 R16	225/60 R16	16x7.0	16x7.0	1600	750	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	8.50	4.00	210	291	164	12.30	6.90	8.90	Euro 5	E85	5	Passenger	Large	< $70K	T	130	80	9800	12750	11600	14600	8600	10400	13100	41990	White	Perth (WA)	Auction	2017-04-18 00:00:00.000	08/2012	56	86227	12000.00
Mercedes-Benz	ML350 CDI	MERC	ML350 C	2011	2	4	W164 MY11 AMG Sports Wagon 5dr Spts Auto 7sp 4x4 3.0DT	F	L	F	W164	MY11	AMG Sports	NULL	Wagon	NULL	NULL	NULL	NULL	4X4 Constant	4XC	Sports Automatic	Column	7	5	2987	3.0	6	Diesel	Turbo Intercooled	SUV	Double Overhead Cam	Piston	95	Direct Injection	Electronic Sequential	6410	2910	WDC1641202A######	2915	1884	4818	1911	2185	2118	725	170.00	NULL	3800	540	1600	2400	NULL	5	NULL	UNITED STATES	4	4 Stroke	V60	Front	642 820 30 ######	7.60	265/40 R21	265/40 R21	21x9.0	21x9.0	3500	750	3yr Roadside	NULL	3	-1	20000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	5.00	3.00	249	309	216	11.70	8.20	9.50	NULL	NULL	5	SUV	Large	> $70K	T	150	90	26350	31350	29300	34750	24000	27100	32000	99415	775 - Iridium Silver (MB)	Belmore (NSW)	Auction	2016-03-21 00:00:00.000	01/2012	50	85128	49000.00
Toyota	Corolla	TOYO	COROLLA	2014	0	3	ZRE182R Ascent Sport Hatchback 5dr S-CVT 7sp 1.8i	F	L	F	ZRE182R	NULL	Ascent Sport	NULL	Hatchback	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Constantly Variable Transmission	Floor	7	5	1798	1.8	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	50	Multi-Point Injection	Electronic Sequential	NULL	NULL	JTNKU3JE501######	2600	1460	4275	1760	1310	1280	NULL	103.00	NULL	6400	173	NULL	4000	91	5	ZRE182R-AHXNKQ	JAPAN	4	4 Stroke	In-line	Front	2ZR-#######	NULL	205/55 R16	205/55 R16	16x6.5	16x6.5	1300	450	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.50	8.50	5.00	152	197	127	8.50	5.40	6.60	Euro 4	E10	5	Passenger	Small	< $40K	T	75	45	12150	14150	13900	16000	10700	12500	15000	23540	1F7 - Silver Pearl (T)	Belmore (NSW)	Auction	2017-05-09 00:00:00.000	04/2014	37	62360	13700.00
Mazda	BT-50	MAZD	BT-50	2007	0	0	UNY0W3 DX Cab Chassis Single Cab 2dr Man 5sp 1410kg 2.5DT (3st)	F	L	F	UNY0W3	NULL	DX	NULL	Cab Chassis	Single Cab	NULL	NULL	3st	Rear Wheel Drive	RWD	Manual	Floor	5	2	2499	2.5	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	70	Direct Injection	Electronic Sequential	4500	2844	MM0UNY0W300######	2985	1622	4841	1715	1434	NULL	1410	105.00	NULL	3500	330	NULL	1800	NULL	3	B25K5CLD	THAILAND	4	4 Stroke	In-line	Front	WLAT-######	NULL	215/70 R15 C	215/70 R15 C	15x6.5	15x6.5	2250	750	NULL	NULL	3	100000	10000	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.50	4.00	3.00	219	273	188	10.30	7.10	8.30	Euro 4	NULL	3	Light Commercial	PU/CC 4X2	NULL	T	300	200	4700	7250	6450	9000	4100	5800	8100	23255	White	Sunshine (VIC)	Auction	2017-08-10 00:00:00.000	01/2008	115	137325	7200.00
Mazda	3	MAZD	3	2011	9	29	BL10F2 Neo Sedan 4dr Man 6sp 2.0i	F	L	F	BL10F2	NULL	Neo	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Manual	Floor	6	4	1999	2.0	4	Petrol - Unleaded ULP	Aspirated	PASS	Double Overhead Cam	Piston	55	Multi-Point Injection	Electronic Sequential	NULL	NULL	JM0BL10F200######	2640	1470	4580	1755	1265	1235	NULL	108.00	NULL	6500	182	NULL	4500	91	5	300G6S4D	JAPAN	4	4 Stroke	In-line	Front	LF-######	NULL	195/65 R15	195/65 R15	15x6.0	15x6.0	900	500	NULL	NULL	3	-1	1000	NULL	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	6.50	3.50	187	255	147	10.80	6.20	7.90	Euro 4	NULL	5	Passenger	Small	< $40K	T	150	90	6850	9400	8350	11050	5900	7500	10000	20330	Blue	Sunshine (VIC)	Pickles Online	2017-09-25 00:00:00.000	11/2011	70	116495	6500.00
Toyota	Hilux	TOYO	HILUX	2007	8	47	KUN26R MY08 SR Utility Dual Cab 4dr Man 5sp 4x4 965kg 3.0DT	F	L	F	KUN26R	MY08	SR	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4	4X4	Manual	Floor	5	4	2982	3.0	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	4600	2780	MR0FZ22G100######	3085	1810	5130	1760	1815	1760	965	126.00	NULL	3600	343	1400	3400	NULL	5	KUN26R-PRMDYQ	THAILAND	4	4 Stroke	In-line	Front	1KD-#######	NULL	205 R16 C	205 R16 C	16x6.0	16x6.0	2250	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	3.00	2.50	225	NULL	NULL	NULL	NULL	8.50	NULL	NULL	4	Light Commercial	PU/CC 4x4	NULL	T	300	200	13700	16950	16050	19650	11800	14400	17900	41890	White	Geebung (QLD)	Auction	2017-06-07 00:00:00.000	01/2008	113	316300	5500.00
Mazda	CX-5	MAZD	CX-5	2013	2	16	KE1021 MY13 Grand Touring Wagon 5dr SKYACTIV-Drive 6sp AWD 2.2DTT	F	L	F	KE1021	MY13	Grand Touring	NULL	Wagon	NULL	NULL	NULL	NULL	Four Wheel Drive	4WD	Sports Automatic	Floor	6	5	2191	2.2	4	Diesel	Twin Turbo Intercooled	SUV	Double Overhead Cam	Piston	58	Direct Injection	Electronic Sequential	3934	2134	JM0KE102100######	2700	1710	4540	1840	1685	1590	449	129.00	NULL	4500	420	NULL	2000	NULL	5	CX5BAW5CDL4	JAPAN	4	4 Stroke	In-line	Front	SH-######	NULL	225/55 R19	225/55 R19	19x7.0	19x7.0	1800	750	NULL	NULL	3	-1	1000	NULL	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.50	5.00	3.50	149	175	135	6.70	5.10	5.70	Euro 4	NULL	5	SUV	Medium	< $60K	T	120	80	24900	29600	27500	32650	22600	25400	30100	46630	Blue	Canberra (ACT)	Fixed Price	2018-01-12 00:00:00.000	02/2013	59	52177	25360.00
Holden	Commodore	HOLD	COMMODO	2013	5	40	VF MY14 Evoke Sportwagon 5dr. Spts Auto 6sp 3.0i	F	L	F	VF	MY14	Evoke	NULL	Wagon	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	5	2997	3.0	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	71	Direct Injection	Electronic Sequential	NULL	NULL	6G1FA8E##EL######	2915	1474	4919	1898	1717	1677	NULL	185.00	NULL	6700	290	NULL	2600	91	5	8EK35-178	AUSTRALIA	4	4 Stroke	V60	Front	L???###########	NULL	225/60 R16	225/60 R16	16x7.0	16x7.0	1600	750	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	8.50	3.50	206	286	160	12.00	6.70	8.60	Euro 4	E85	5	Passenger	Large	< $70K	T	100	60	13400	16550	15150	18600	11700	13600	16900	36990	Prussian Steel	Sunshine (VIC)	Special Fixed Price	2016-06-04 00:00:00.000	10/2013	32	84545	19700.00
Holden	Colorado	HOLD	COLORAD	2012	6	24	RG MY13 LTZ Utility Crew Cab 4dr. Man 5sp 4x4 1044kg 2.8DT	F	L	F	RG	MY13	LTZ	NULL	Utility	Dual Cab	NULL	NULL	NULL	4X4 Dual Range	4XD	Manual	Floor	5	4	2776	2.8	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	76	Direct Injection	Electronic Sequential	6000	3100	MMU148MH0DH######	3096	1780	5347	1882	2056	NULL	1044	132.00	NULL	3800	440	NULL	2000	NULL	5	82G43475	THAILAND	4	4 Stroke	In-line	Front	APL G102######	NULL	255/65 R17	255/65 R17	17x7.0	17x7.0	3500	750	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	3.00	2.50	213	262	184	9.80	6.90	7.90	Euro 4	NULL	5	Light Commercial	PU/CC 4x4	NULL	T	150	100	22300	26750	24900	29650	20100	22900	27300	49990	Black	Adelaide (SA)	Auction	2016-07-27 00:00:00.000	10/2012	45	85081	24700.00
Mazda	2	MAZD	2	2016	0	0	DJ2HA6 Neo Hatchback 5dr SKYACTIV-MT 6sp 1.5i	F	L	F	DJ2HA6	NULL	Neo	NULL	Hatchback	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Manual	Floor	6	5	1496	1.5	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	44	Direct Injection	Electronic Sequential	NULL	NULL	MM0DJ2HA60W######	2570	1495	4060	1695	1027	1000	NULL	79.00	NULL	6000	139	NULL	4000	91	5	200N6H5N	THAILAND	4	4 Stroke	In-line	Front	P5-######	NULL	185/65 R15	185/65 R15	15x5.5	15x5.5	900	500	NULL	NULL	3	-1	10000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	126	167	102	7.20	4.40	5.40	Euro 5	E10	5	Passenger	Light	< $25K	T	25	15	9800	11850	11450	13500	8600	10300	12600	14990	44J - Dynamic Blue Mica (M)	Sunshine (VIC)	Dealer Only Auction	2017-08-08 00:00:00.000	07/2016	13	1029	12400.00
Ford	Falcon Ute	FORD	FALCONU	2012	0	2	FG MkII Cab Chassis Super Cab 2dr Spts Auto 6sp 1209kg 4.0i (Flr)	F	L	F	FG MkII	NULL	NULL	NULL	Cab Chassis	Extended Cab	NULL	NULL	Flr	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	2	3984	4.0	6	Petrol - Unleaded ULP	Aspirated	CC	DOHC with VVT	Piston	81	Multi-Point Injection	Electronic Sequential	4890	2820	6FPAAAJGCMC*#####	3104	1538	5391	1897	1611	NULL	1209	195.00	NULL	6000	391	NULL	3250	91	2	NULL	AUSTRALIA	4	4 Stroke	In-line	Front	JGCM8R#####	NULL	215/60 R16	215/60 R16	16x6.5	16x6.5	2300	750	1 year roadside	NULL	3	100000	3000	4	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	5.50	3.00	255	351	215	14.80	8.40	10.70	Euro 4	E10	5	Light Commercial	PU/CC 4X2	NULL	T	150	100	10350	13350	12200	15250	9200	11000	13700	28590	White	Sunshine (VIC)	Auction	2016-02-23 00:00:00.000	06/2012	44	101017	11600.00
Toyota	Camry	TOYO	CAMRY	2015	4	12	AVV50R Atara SL Sedan 4dr CVT 1sp 2.5i/105kW Hybrid (Apr)	F	L	F	AVV50R	NULL	Atara SL	NULL	Sedan	NULL	NULL	NULL	Apr	Front Wheel Drive	FWD	Constantly Variable Transmission	Floor	1	4	2494	2.5	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston - Electric	65	Multi-Point Injection	Electronic Sequential	NULL	2100	6T1BD3FK10#######	2775	1470	4850	1825	1610	1570	NULL	118.00	NULL	5700	213	NULL	4500	91	5	AVV50R-DEXDBQ	AUSTRALIA	4	4 Stroke	In-line	Front	2AR-######	NULL	215/55 R17	215/55 R17	17x7.0	17x7.0	300	300	NULL	NULL	3	100000	5000	3	9	Permanent Magnet	Nickel Metal Hydride	AC	NULL	650.00	Engine	105.00	NULL	NULL	270.00	NULL	NULL	Wheels Front	NULL	NULL	NULL	NULL	NULL	NULL	NULL	8.00	8.50	5.00	121	132	114	5.70	4.90	5.20	Euro 5	E10	5	Passenger	Medium	< $60K	T	50	30	22800	27300	25250	30050	20600	23200	27700	40440	8W6 - Indigo (T)	Adelaide (SA)	Fixed Price	2016-11-30 00:00:00.000	09/2015	14	16820	28253.00
Hyundai	i30	HYUN	I30	2014	0	1	GD2 MY14 Active Hatchback 5dr. Spts Auto 6sp 1.8i	F	L	F	GD2	MY14	Active	NULL	Hatchback	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	5	1797	1.8	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	50	Multi-Point Injection	Electronic Sequential	2940	1840	KMHD*51EMEU######	2650	1470	4300	1780	1344	1324	496	107.00	NULL	6500	175	NULL	4700	91	5	A5S6N361FDC161	SOUTH KOREA	4	4 Stroke	In-line	Front	G4NB ######	NULL	205/55 R16	205/55 R16	16x6.5	16x6.5	1300	500	NULL	NULL	5	-1	1500	1	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.00	8.50	4.50	170	238	129	9.90	5.40	7.10	NULL	E10	5	Passenger	Small	< $40K	T	75	45	11400	14450	13200	16300	10000	11900	14800	23240	Silver	Sunshine (VIC)	Auction	2016-11-29 00:00:00.000	11/2014	24	70305	12250.00
Toyota	Corolla	TOYO	COROLLA	2007	5	24	ZRE152R Ascent Sedan 4dr Auto 4sp 1.8i	F	L	F	ZRE152R	NULL	Ascent	NULL	Sedan	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Automatic	Floor	4	4	1798	1.8	4	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	55	Multi-Point Injection	Electronic Sequential	NULL	NULL	JTNBU52E#0*######	2600	1475	4540	1760	1270	1235	NULL	100.00	NULL	6000	175	NULL	4400	91	5	ZRE152R-AEPDKQ	JAPAN	4	4 Stroke	In-line	Front	2ZR-#######	11.10	195/65 R15	195/65 R15	15x6.0	15x6.0	1300	450	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	7.00	6.50	3.50	173	NULL	NULL	NULL	NULL	7.40	Euro 4	NULL	4	Passenger	Small	< $40K	T	250	150	3850	5900	5500	7550	3400	5000	6800	22990	209 - Ink (T)	Belmore (NSW)	Auction	2018-01-24 00:00:00.000	04/2007	129	157985	4450.00
Nissan	Navara	NISS	NAVARA	2012	0	17	D40 S6 ST-X Utility King Cab 4dr Man 6sp 4x4 903kg 2.5DT	F	L	F	D40 S6	NULL	ST-X	NULL	Utility	Extended Cab	NULL	NULL	NULL	4X4	4X4	Manual	Floor	6	4	2488	2.5	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	80	Direct Injection	Electronic Sequential	NULL	2860	NULL	3200	1770	5230	1850	1957	NULL	903	126.00	NULL	4000	403	NULL	2000	NULL	4	NAVARAK4YM6SX	THAILAND	4	4 Stroke	In-line	Front	NULL	NULL	255/70 R16	255/70 R16	16x7.0	16x7.0	3000	750	3Yr Roadside	NULL	3	100000	10000	6	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	9.80	NULL	NULL	4	Light Commercial	PU/CC 4x4	NULL	T	150	100	16400	20100	18500	22500	14500	16700	20500	44610	White	Perth (WA)	Auction	2016-08-09 00:00:00.000	03/2013	41	75636	23600.00
Toyota	Hilux	TOYO	HILUX	2016	0	10	GUN136R SR Hi-Rider Utility Double Cab 4dr Spts Auto 6sp 1000kg 2.8DT	F	L	F	GUN136R	NULL	SR	Hi-Rider	Utility	Dual Cab	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	4	2755	2.8	4	Diesel	Turbo Intercooled	CC	Double Overhead Cam	Piston	80	Direct Injection	Electronic Sequential	NULL	2930	MR0JA3DD90#######	3085	1815	5330	1855	1930	1900	1000	130.00	NULL	3400	450	1600	2400	NULL	5	GUN136R-DTTSHQ	THAILAND	4	4 Stroke	In-line	Front	1GD #######	NULL	265/65 R17	265/65 R17	17x7.5	17x7.5	2800	750	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	213	273	178	10.40	6.80	8.10	Euro 5	NULL	5	Light Commercial	PU/CC 4X2	NULL	T	30	20	30050	35550	32850	38800	27400	30400	35800	41990	040 - Glacier White (T)	Belmore (NSW)	Auction	2016-12-13 00:00:00.000	03/2016	9	20585	34700.00
Volkswagen	Transporter	VOLK	TRANSPO	2017	0	2	T6 MY17 TDI340 Van SWB 4dr DSG 7sp 1216kg 2.0DT	F	L	F	T6	MY17	TDI340	NULL	Van	NULL	Short Wheelbase	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic Dual Clutch	Dash	7	4	1968	2.0	4	Diesel	Turbo Intercooled	VAN	Double Overhead Cam	Piston	80	Direct Injection	Electronic Sequential	5300	3000	WV1ZZZ7HZH*######	3000	1990	4890	1904	NULL	1656	1216	103.00	NULL	3500	340	1750	2500	NULL	2	SGA1B7/17	GERMANY	4	4 Stroke	In-line	Front	CAAC*#####	12.50	215/65 R16	215/65 R16	16x6.5	16x6.5	2500	750	3yr Roadside	NULL	3	-1	15000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	216	274	182	10.40	6.90	8.20	Euro 5	NULL	NULL	Light Commercial	Vans/CC	2.5t-3.5t	T	30	20	29450	34900	32200	38100	26800	29800	35200	41390	B4B4 - Candy White (VW)	Geebung (QLD)	Dealer Only Auction	2017-11-09 00:00:00.000	10/2017	1	28	34000.00
Toyota	Kluger	TOYO	KLUGER	2012	1	0	GSU40R MY12 KX-R Wagon 5dr Spts Auto 5sp 2WD 3.5i	F	L	F	GSU40R	MY12	KX-R	NULL	Wagon	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	5	5	3456	3.5	6	Petrol - Unleaded ULP	Aspirated	SUV	DOHC with VVT	Piston	72	Multi-Point Injection	Electronic Sequential	4630	2630	JTEDS41A102######	2790	1730	4785	1910	1830	1805	800	201.00	NULL	6200	337	NULL	4700	91	5	GSU40R-BRANKQ	JAPAN	4	4 Stroke	V60	Front	2GR-#######	8.00	245/65 R17	245/65 R17	17x7.5	17x7.5	2000	700	NULL	NULL	3	100000	5000	3	6	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	5.00	5.50	3.00	259	350	206	15.00	8.70	11.00	NULL	NULL	5	SUV	Large	< $70K	T	130	80	15150	18600	17100	20850	13300	15400	19000	39990	1G3 - Graphite (T)	Belmore (NSW)	Dealer Only Auction	2016-07-13 00:00:00.000	07/2012	48	93144	17600.00
Peugeot	308	PEUG	308	2010	0	18	T7 Sportium Hatchback 5dr Spts Auto 6sp 1.6T	F	L	T	T7	NULL	Sportium	NULL	Hatchback	NULL	NULL	NULL	NULL	Front Wheel Drive	FWD	Sports Automatic	Floor	6	5	1598	1.6	4	Petrol - Premium ULP	Turbo Intercooled	PASS	DOHC with VVT	Piston	60	Direct Injection	Electronic	NULL	1840	VF34C5FVABS######	2608	1519	4276	1821	1430	1335	410	115.00	NULL	6000	240	NULL	1400	95	5	NULL	FRANCE	4	4 Stroke	In-line	Front	PSA 5FV******#######	9.10	225/45 R17	225/45 R17	17x7.5	17x7.5	1650	720	3yr Roadside	NULL	3	100000	20000	12	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.50	6.50	3.50	176	NULL	NULL	11.20	5.70	7.60	Euro 5	NULL	5	Passenger	Small	< $40K	T	180	110	4650	7700	6200	9250	4000	5600	8200	31490	Silver	Sunshine (VIC)	Pickles Online	2016-07-08 00:00:00.000	03/2011	64	28035	9000.00
Holden	Commodore	HOLD	COMMODO	2012	0	0	VE II MY12 Omega Sedan 4dr. Spts Auto 6sp 3.0i	F	L	F	VE II	MY12	Omega	NULL	Sedan	NULL	NULL	NULL	NULL	Rear Wheel Drive	RWD	Sports Automatic	Floor	6	4	2986	3.0	6	Petrol - Unleaded ULP	Aspirated	PASS	DOHC with VVT	Piston	71	Direct Injection	Electronic Sequential	NULL	NULL	6G1EK4?#*CL######	2915	1471	4903	1899	1618	1618	NULL	190.00	NULL	6700	290	NULL	2400	91	5	8EK69-178	AUSTRALIA	4	4 Stroke	V60	Front	L?*###***1234*	NULL	225/60 R16	225/60 R16	16x7.0	16x7.0	1600	750	1yr Roadside	NULL	3	100000	15000	9	9	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	6.00	8.50	4.00	210	291	164	12.30	6.90	8.90	Euro 5	E85	5	Passenger	Large	< $70K	T	130	80	8100	10750	9550	12450	7000	8600	11200	39990	Grey	Perth (WA)	Dealer Only Auction	2016-01-13 00:00:00.000	10/2012	39	63643	11789.00
Volkswagen	Touareg	VOLK	TOUAREG	2003	9	2	7L V8 Wagon 5dr Spts Auto 6sp 4XMOTION 4.2i	F	L	F	7L	NULL	V8	NULL	Wagon	NULL	NULL	NULL	NULL	4X4 Dual Range	4XD	Sports Automatic	S/Wheel & Floor	6	5	4172	4.2	8	Petrol - Premium ULP	Aspirated	SUV	DOHC with VVT	Piston	100	Multi-Point Injection	Electronic Sequential	6445	2945	WVGZZZ7LZ3D######	2855	1726	4754	1925	2317	2317	628	228.00	NULL	6200	410	NULL	3000	98	5	7LAAM1	SLOVAKIA	5	4 Stroke	V90	Front	AXQ######	8.10	255/55 R18	255/55 R18	18x8.0	18x8.0	3500	750	3 year Roadside	NULL	3	100000	15000	12	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	356	NULL	NULL	20.30	11.60	14.80	NULL	NULL	NULL	SUV	Large	> $70K	F	350	210	7600	10100	9500	12450	6400	8600	11200	99950	Black	Belmore (NSW)	Pickles Online	2017-02-13 00:00:00.000	10/2003	160	156365	6300.00
